Date,gross,after_fees,after_all_taxes
2024-04-23,103324.0693529016,103260.2167257092,102526.66796242463
2024-04-24,103365.57256507927,103300.87557922286,102558.17857389772
2024-04-25,103407.09244826721,103341.55044221648,102589.70159271777
2024-04-26,103448.62900916183,103382.24132099381,102621.2370237702
2024-04-29,103490.18225446223,103422.94822186108,102652.78487194233
2024-04-30,103531.75219087019,103463.671151127,102684.34514212342
2024-05-02,103573.33882509022,103504.41011510279,102715.91783920466
2024-05-03,103614.94216382947,103545.16512010213,102747.50296807915
2024-05-06,103656.56221379784,103585.9361724412,102779.10053364193
2024-05-07,103698.19898170787,103626.72327843866,102810.71054078997
2024-05-08,103739.85247427484,103667.52644441566,102842.33299442213
2024-05-09,103780.59111434149,103707.41474230836,102873.24642528898
2024-05-10,103821.34575247207,103747.31838807676,102904.17175075949
2024-05-13,103862.11639494906,103787.23738762626,102935.10897541035
2024-05-14,103902.90304805734,103827.17174686457,102966.05810382003
2024-05-15,103943.70571808431,103867.12147170166,102997.01914056878
2024-05-16,103984.5244113198,103907.08656804977,103027.99209023856
2024-05-17,104025.35913405611,103947.06704182341,103058.97695741314
2024-05-20,104066.20989258804,103987.06289893937,103089.97374667802
2024-05-21,104107.07669321285,104027.07414531674,103120.98246262048
2024-05-22,104147.95954223027,104067.10078687686,103152.00310982957
2024-05-23,104188.85844594249,104107.14282954336,103183.0356928961
2024-05-24,104229.7734106542,104147.20027924213,103214.08021641265
2024-05-27,104270.70444267256,104187.27314190136,103245.13668497355
2024-05-28,104311.65154830719,104227.36142345153,103276.20510317493
2024-05-29,104352.6147338702,104267.46512982536,103307.28547561466
2024-05-31,104393.59400567618,104307.58426695791,103338.37780689239
2024-06-03,104434.5893700422,104347.71884078649,103369.48210160952
2024-06-04,104475.60083328781,104387.86885725068,103400.59836436927
2024-06-05,104516.62840173504,104428.03432229238,103431.7265997766
2024-06-06,104557.6720817084,104468.21524185575,103462.86681243821
2024-06-07,104598.73187953488,104508.41162188727,103494.01900696263
2024-06-10,104639.80780154397,104548.62346833566,103525.18318796014
2024-06-11,104680.89985406763,104588.85078715197,103556.35936004277
2024-06-12,104722.0080434403,104629.09358428951,103587.54752782437
2024-06-13,104763.13237599896,104669.35186570391,103618.74769592052
2024-06-14,104804.272858083,104709.62563735306,103649.95986894863
2024-06-17,104845.42949603435,104749.91490519718,103681.18405152782
2024-06-18,104886.60229619744,104790.21967519875,103712.42024827903
2024-06-19,104927.79126491914,104830.53995332256,103743.66846382499
2024-06-20,104968.99640854886,104870.87574553568,103774.92870279016
2024-06-21,105010.21773343849,104911.22705780751,103806.20096980082
2024-06-24,105051.4552459424,104951.59389610971,103837.48526948503
2024-06-25,105092.70895241748,104991.97626641626,103868.78160647259
2024-06-26,105133.97885922309,105032.37417470342,103900.08998539516
2024-06-27,105175.2649727211,105072.78762694976,103931.41041088606
2024-06-28,105216.56729927588,105113.21662913616,103962.74288758053
2024-07-01,105257.88584525429,105153.6611872458,103994.0874201155
2024-07-02,105299.22061702571,105194.12130726414,104025.44401312972
2024-07-03,105340.57162096202,105234.59699517896,104056.81267126369
2024-07-04,105381.93886343756,105275.08825698034,104088.19339915976
2024-07-05,105423.32235082923,105315.59509866066,104119.586201462
2024-07-08,105464.72208951639,105356.11752621463,104150.99108281634
2024-07-09,105506.13808588094,105396.65554563924,104182.40804787041
2024-07-10,105547.57034630726,105437.20916293378,104213.83710127368
2024-07-11,105589.01887718224,105477.77838409989,104245.27824767742
2024-07-12,105630.4836848953,105518.36321514148,104276.73149173465
2024-07-15,105671.96477583835,105558.96366206478,104308.19683810021
2024-07-16,105713.46215640582,105599.57973087834,104339.67429143071
2024-07-17,105754.97583299463,105640.211427593,104371.16385638458
2024-07-18,105796.50581200424,105680.85875822196,104402.66553762202
2024-07-19,105838.0520998366,105721.52172878069,104434.17933980504
2024-07-22,105879.6147028962,105762.20034528697,104465.7052675974
2024-07-23,105921.19362759002,105802.89461376093,104497.24332566472
2024-07-24,105962.78888032757,105843.604540225,104528.79351867437
2024-07-25,106004.40046752087,105884.33013070392,104560.35585129554
2024-07-26,106046.02839558445,105925.07139122476,104591.93032819919
2024-07-29,106087.67267093538,105965.8283278169,104623.5169540581
2024-07-30,106129.33329999325,106006.60094651204,104655.11573354683
2024-07-31,106171.01028918015,106047.38925334421,104686.72667134176
2024-08-01,106212.70364492071,106088.19325434977,104718.34977212107
2024-08-02,106254.41337364206,106129.01295556736,104749.9850405647
2024-08-05,106296.13948177388,106169.84836303799,104781.63248135445
2024-08-06,106337.88197574836,106210.69948280498,104813.29209917386
2024-08-07,106379.64086200022,106251.56632091396,104844.96389870832
2024-08-08,106421.41614696672,106292.4488834129,104876.647884645
2024-08-09,106463.20783708763,106333.34717635211,104908.34406167289
2024-08-12,106505.01593880524,106374.26120578419,104940.05243448274
2024-08-13,106546.8404585644,106415.19097776411,104971.77300776719
2024-08-14,106588.68140281246,106456.13649834915,105003.50578622059
2024-08-15,106630.53877799933,106497.09777359891,105035.25077453916
2024-08-16,106672.41259057744,106538.07480957535,105067.0079774209
2024-08-19,106714.30284700175,106579.06761234274,105098.77739956562
2024-08-20,106756.20955372976,106620.07618796769,105130.55904567496
2024-08-21,106798.1327172215,106661.10054251914,105162.35292045234
2024-08-22,106840.07234393954,106702.14068206838,105194.159028603
2024-08-23,106882.028440349,106743.19661268902,105225.977374834
2024-08-26,106924.0010129175,106784.26834045701,105257.80796385418
2024-08-27,106965.99006811526,106825.35587145065,105289.65080037425
2024-08-28,107007.995612415,106866.45921175055,105321.50588910667
2024-08-29,107050.017652292,106907.5783674397,105353.37323476576
2024-08-30,107092.05619422405,106948.7133446034,105385.25284206764
2024-09-02,107134.1112446915,106989.8641493293,105417.1447157302
2024-09-03,107176.18281017728,107031.03078770738,105449.04886047322
2024-09-04,107218.27089716683,107072.21326583,105480.96528101825
2024-09-05,107260.37551214814,107113.41158979182,105512.89398208866
2024-09-06,107302.49666161175,107154.62576568988,105544.83496840966
2024-09-09,107344.63435205075,107195.85579962355,105576.78824470825
2024-09-10,107386.7885899608,107237.10169769454,105608.75381571327
2024-09-11,107428.95938184006,107278.36346600692,105640.73168615537
2024-09-12,107471.1467341893,107319.64111066711,105672.72186076701
2024-09-13,107513.3506535118,107360.93463778388,105704.72434428251
2024-09-16,107555.57114631344,107402.24405346833,105736.73914143795
2024-09-17,107597.80821910259,107443.56936383393,105954.85549106714
2024-09-18,107640.06187839022,107484.9105749965,105987.9284599972
2024-09-19,107683.29873844552,107527.23290757118,106021.78632605694
2024-09-20,107726.55296588277,107569.571904623,106055.65752369839
2024-09-23,107769.82456767811,107611.9275727136,106089.54205817087
2024-09-24,107813.11355081045,107654.29991840725,106123.4399347258
2024-09-25,107856.41992226153,107696.68894827078,106157.35115861663
2024-09-26,107899.7436890159,107739.09466887359,106191.27573509887
2024-09-27,107943.0848580609,107781.51708678767,106225.21366943014
2024-09-30,107986.44343638669,107823.95620858764,106259.16496687011
2024-10-01,108029.81943098622,107866.41204085066,106293.12963268053
2024-10-02,108073.21284885526,107908.8845901565,106327.10767212519
2024-10-03,108116.62369699238,107951.37386308752,106361.09909047002
2024-10-04,108160.05198239897,107993.87986622867,106395.10389298294
2024-10-07,108203.49771207926,108036.4026061675,106429.122084934
2024-10-08,108246.96089304025,108078.94208949413,106463.1536715953
2024-10-09,108290.44153229176,108121.49832280132,106497.19865824105
2024-10-10,108333.93963684645,108164.07131268438,106531.2570501475
2024-10-11,108377.45521371978,108206.66106574122,106565.32885259298
2024-10-14,108420.98826993002,108249.2675885724,106599.41407085792
2024-10-15,108464.53881249829,108291.89088778102,106633.51271022481
2024-10-16,108508.10684844849,108334.5309699728,106667.62477597824
2024-10-17,108551.69238480736,108377.18784175607,106701.75027340485
2024-10-18,108595.29542860448,108419.86150974174,106735.88920779339
2024-10-21,108638.91598687223,108462.55198054334,106770.04158443467
2024-10-22,108682.55406664584,108505.25926077703,106804.20740862163
2024-10-23,108726.20967496332,108547.98335706153,106838.38668564922
2024-10-24,108769.88281886556,108590.72427601818,106872.57942081455
2024-10-25,108813.57350539624,108633.48202427094,106906.78561941675
2024-10-28,108857.28174160188,108676.25660844635,106941.00528675708
2024-10-29,108901.00753453185,108719.04803517359,106975.23842813887
2024-10-30,108944.75089123832,108761.85631108444,107009.48504886756
2024-10-31,108988.51181877631,108804.68144281328,107043.74515425062
2024-11-01,109032.29032420367,108847.52343699711,107078.01874959769
2024-11-04,109076.08641458109,108890.38230027557,107112.30584022045
2024-11-05,109119.9000969721,108933.25803929087,107146.6064314327
2024-11-06,109163.73137844304,108976.15066068785,107180.92052855028
2024-11-07,109209.5332052175,109021.00975444932,107216.80780355945
2024-11-08,109255.35424906442,109065.88731407034,107252.70985125627
2024-11-11,109301.1945180467,109110.78334715223,107288.62667772178
2024-11-12,109347.05402023064,109155.69786129943,107324.55828903955
2024-11-13,109392.93276368591,109200.6308641195,107360.5046912956
2024-11-14,109438.83075648558,109245.58236322318,107396.46589057855
2024-11-18,109484.74800670608,109290.55236622426,107432.4418929794
2024-11-19,109530.68452242725,109335.54088073973,107468.43270459179
2024-11-21,109576.64031173234,109380.5479143897,107504.43833151176
2024-11-22,109622.61538270794,109425.5734747974,107540.45877983792
2024-11-25,109668.60974344406,109470.61756958923,107576.49405567138
2024-11-26,109714.62340203412,109515.6802063947,107612.54416511576
2024-11-27,109760.65636657491,109560.76139284646,107648.60911427716
2024-11-28,109806.70864516664,109605.86113658031,107684.68890926425
2024-11-29,109852.7802459129,109650.9794452352,107720.78355618817
2024-12-02,109898.87117692069,109696.11632645324,107756.89306116258
2024-12-03,109944.98144630039,109741.27178787964,107793.0174303037
2024-12-04,109991.11106216582,109786.4458371628,107829.15666973023
2024-12-05,110037.26003263418,109831.63848195424,107865.3107855634
