2025-09-17 12:30:29,891 - INFO - THRESHOLDS FINANCEIROS: buy=0.55 sell=0.25 hold_min_days=3
2025-09-17 12:30:29,892 - INFO - PROBABILIDADE MÉDIA: 0.609
2025-09-17 12:30:29,892 - INFO - ============================================================
2025-09-17 12:30:29,892 - INFO - INICIANDO BACKTESTING REALISTA
2025-09-17 12:30:29,892 - INFO - ============================================================
2025-09-17 12:30:29,892 - INFO - Tamanho test_df: 251
2025-09-17 12:30:29,892 - INFO - Tamanho predictions: 251
2025-09-17 12:30:29,892 - INFO - Tamanho probabilities: 251
2025-09-17 12:30:29,933 - INFO - COMPRA: 2024-05-13 | Preço base: R$ 27.05 | Preço exec c/ slippage: R$ 27.05 | Ações: 3400 | Custo: R$ 92060.88 | Prob: 0.813 | Fração: 91.5%
2025-09-17 12:30:29,933 - INFO - COMPRA: 2024-05-14 | Preço base: R$ 27.62 | Preço exec c/ slippage: R$ 27.62 | Ações: 300 | Custo: R$ 8293.71 | Prob: 0.910 | Fração: 96.6%
2025-09-17 12:30:29,933 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.519, fração: 44.5%)
2025-09-17 12:30:29,933 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.950, fração: 97.7%)
2025-09-17 12:30:29,935 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.644, fração: 68.7%)
2025-09-17 12:30:29,935 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.864, fração: 94.7%)
2025-09-17 12:30:29,936 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.942, fração: 97.5%)
2025-09-17 12:30:29,936 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.565, fração: 53.1%)
2025-09-17 12:30:29,936 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.737, fração: 83.8%)
2025-09-17 12:30:29,937 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.662, fração: 72.0%)
