Date,BB_upper,EMA_long
2017-10-18,14.126147726388975,13.015550365333349
2017-10-19,14.130302604981244,13.039930628872092
2017-10-20,14.130832779040876,13.06114336380134
2017-10-23,14.130154837583564,13.078870169849512
2017-10-24,14.127309044170396,13.090888434649187
2017-10-25,14.12443559454482,13.109512929940404
2017-10-26,14.106068236830197,13.129029009786011
2017-10-27,14.041551110853913,13.14291395720881
2017-10-30,14.00376268290624,13.155222109890266
2017-10-31,14.018915022553646,13.157611001256203
2017-11-01,14.051002265677702,13.152976065044928
2017-11-02,14.159510208338816,13.132598474701656
2017-11-03,14.21156923900103,13.113020005548316
2017-11-06,14.23120478102651,13.099210387614264
2017-11-07,14.237201898905113,13.085942323324684
2017-11-08,14.241431704616934,13.055933556341706
2017-11-09,14.180831026912577,13.04465755114749
