Date,MACD_signal,BB_lower,EMA_long,BB_middle,OBV
2022-01-19,0.2360815904957791,9.95440085798399,10.423757624033328,10.83644371032715,4182052000.0
2022-01-20,0.2594215790056894,9.948796486729536,10.47528636492075,10.89850573539734,4104571800.0
2022-01-21,0.2819755972220911,9.951252971591735,10.528156353329187,10.964108657836912,4189924900.0
2022-01-24,0.3025093543079281,9.973932012883806,10.579683934774154,11.031389141082764,4251270300.0
2022-01-25,0.3210814309778741,9.999013597916251,10.63182203288915,11.098856163024902,4330387400.0
2022-01-26,0.342903373910553,9.976850855010133,10.697117629293926,11.177878189086917,4428745900.0
2022-01-27,0.3700700593556978,9.936822526258297,10.772715922850644,11.272741746902463,4527425800.0
2022-01-28,0.3983786154712788,9.94671573373464,10.84549577010721,11.372264623641968,4618056800.0
2022-01-31,0.4170420068494869,10.032280467617165,10.89583408241947,11.44849090576172,4500656300.0
2022-02-01,0.4266011566382682,10.097875749691188,10.941420944467186,11.50924825668335,4438206000.0
2022-02-02,0.4328460547126556,10.15915323902458,10.994721487550466,11.580069780349731,4495521200.0
2022-02-03,0.4328452172885849,10.321154274241453,11.038915463016664,11.66300563812256,4459249500.0
2022-02-04,0.4252670603952077,10.511785696813533,11.074798494355068,11.73792748451233,4408161700.0
2022-02-07,0.415697874403888,10.722020881802807,11.11746016474006,11.820863246917725,4467508500.0
2022-02-08,0.4015804230202404,10.999179224868197,11.151432515601012,11.898021459579468,4418640400.0
2022-02-09,0.3825339435927459,11.224283929010662,11.179394975783095,11.953746795654297,4356050400.0
2022-02-10,0.3612382645673447,11.385216886509694,11.208014993858525,11.99530792236328,4407010900.0
2022-02-11,0.3417398117995809,11.513673469221116,11.242675126390075,12.034818887710571,4456545500.0
2022-02-14,0.3314610044406195,11.525600002114947,11.295271038600518,12.077870845794678,4544558900.0
2022-02-15,0.3222245934111793,11.568086813012808,11.33469510740406,12.105826616287231,4488871900.0
2022-02-16,0.3102989177047684,11.6031256351962,11.364972088199028,12.121481943130494,4423182900.0
2022-02-17,0.2992817233924162,11.657358049938274,11.40063962086348,12.148319625854493,4488994500.0
2022-02-18,0.2879562428888416,11.699912567303755,11.433008109134612,12.168447875976565,4445739300.0
2022-02-21,0.2775643057591738,11.744587510880692,11.46703072419172,12.191371631622314,4506044000.0
2022-02-22,0.2727245110180724,11.763123035280469,11.512143924635584,12.2267822265625,4557307800.0
2022-02-23,0.2703427008076765,11.753250903050349,11.55388019726352,12.24076018333435,4477101100.0
2022-02-24,0.2718647307653991,11.73645633732106,11.600996140958072,12.247283315658567,4563631200.0
2022-02-25,0.2701982043863977,11.74884130764395,11.634131830730835,12.238151025772094,4423957100.0
