Date,EMA_long,BB_upper,target
2021-05-05,11.17330814955371,11.143640613078594,2.0
2021-05-06,11.157576795561084,11.147575907562985,2.0
2021-05-07,11.141740369855292,11.151365541983914,2.0
2021-05-10,11.137064353213738,11.151847378710794,2.0
2021-05-11,11.138202240336868,11.17791110135222,2.0
2021-05-12,11.142471800894084,11.227148976648555,2.0
2021-05-13,11.14368646366683,11.252519889715323,2.0
2021-05-14,11.15654767146708,11.35130879394474,2.0
2021-05-17,11.168904518177126,11.429684916803073,2.0
2021-05-18,11.188717299415604,11.55061662709627,2.0
2021-05-19,11.214105589560878,11.693327212557454,2.0
2021-05-20,11.24643885203511,11.865921590031949,2.0
2021-05-21,11.278947819351997,12.0174156446865,1.0
2021-05-24,11.314224419736249,12.170331523050413,1.0
2021-05-25,11.351252931189414,12.31938897078336,2.0
2021-05-26,11.38039630600366,12.411824900003474,2.0
2021-05-27,11.41629188035031,12.533881260013256,2.0
2021-05-28,11.457359090726143,12.66566011487894,2.0
2021-05-31,11.498424016353113,12.78263143772348,2.0
2021-06-01,11.537147552026536,12.876926171011323,2.0
2021-06-02,11.581516519138392,12.97109514104898,2.0
2021-06-04,11.641982714578797,13.130034199260916,2.0
2021-06-07,11.70811891890856,13.29042025834103,1.0
2021-06-08,11.782919428809665,13.509515911113771,0.0
2021-06-09,11.851569898010563,13.673402299428773,1.0
2021-06-10,11.907293770573933,13.754878596446968,1.0
2021-06-11,11.959370616200266,13.788713696747372,1.0
2021-06-14,12.007943118962825,13.823952146539405,0.0
2021-06-15,12.060318315385716,13.8543243408342,0.0
2021-06-16,12.108876818410476,13.875357133464394,0.0
2021-06-17,12.159203610108648,13.906272954852502,0.0
2021-06-18,12.195069914219255,13.901283880138587,0.0
2021-06-21,12.228795105583457,13.885155472394782,0.0
2021-06-22,12.25723139024214,13.861742880541032,0.0
2021-06-23,12.273828365297366,13.834694894705104,0.0
2021-06-24,12.28977447858572,13.775994034797243,0.0
2021-06-25,12.30612365160208,13.738632217357544,0.0
2021-06-28,12.306847437522231,13.756114880088042,0.0
2021-06-29,12.303870183789838,13.78942963268101,0.0
2021-06-30,12.297777738945962,13.829719191508122,1.0
2021-07-01,12.287517116196147,13.887796436770213,1.0
2021-07-02,12.272664160522613,13.930199299679463,1.0
2021-07-05,12.263535287229196,13.910960583269436,1.0
2021-07-06,12.251826344092509,13.829936942918756,2.0
2021-07-07,12.233525107300968,13.758917435455418,2.0
2021-07-08,12.222111502306092,13.69865743123168,2.0
2021-07-12,12.20982347266746,13.631074351091804,2.0
2021-07-13,12.20991648928534,13.545973914995123,0.0
2021-07-14,12.20794921278064,13.41837584541653,0.0
2021-07-15,12.209291030533976,13.28308181808666,0.0
2021-07-16,12.203234990999308,13.095217867602845,1.0
2021-07-19,12.19168721670604,12.970779531477566,2.0
2021-07-20,12.177066506260385,12.829175401178423,1.0
2021-07-21,12.17124588825293,12.68013268381549,1.0
2021-07-22,12.170354396175206,12.593435439371296,1.0
2021-07-23,12.162446471473595,12.484173019671696,1.0
2021-07-26,12.152351343721932,12.330134389418456,2.0
2021-07-27,12.149850437073312,12.288559434383831,1.0
2021-07-28,12.149651116452024,12.273235051387156,0.0
2021-07-29,12.156511080221197,12.309974940932754,0.0
2021-07-30,12.155462907533964,12.318046369773132,0.0
2021-08-02,12.143438021581057,12.321480247915447,0.0
2021-08-03,12.138201576662093,12.320097820858736,0.0
2021-08-04,12.13052614933933,12.320140386616128,0.0
2021-08-05,12.116247341509656,12.322429233718513,0.0
2021-08-06,12.094301718284957,12.366605397349728,2.0
2021-08-09,12.08702583703931,12.366605397349728,0.0
2021-08-10,12.075774978205123,12.344144438088088,0.0
2021-08-11,12.053212957826773,12.36008403421954,0.0
2021-08-12,12.027128550451728,12.364534258619717,0.0
2021-08-13,11.992371334730503,12.424306314827362,1.0
2021-08-16,11.955451469227516,12.48423707802043,1.0
2021-08-17,11.9192448879698,12.52957708190602,2.0
2021-08-18,11.882695333719129,12.544427428390112,2.0
2021-08-19,11.849635740733492,12.518566741201749,2.0
2021-08-20,11.820810704648126,12.4986229733528,2.0
2021-08-23,11.79370363771062,12.477131624095094,2.0
2021-08-24,11.77162613018235,12.41737034125749,1.0
2021-08-25,11.764806175475444,12.346875985765148,1.0
2021-08-26,11.756767284402878,12.222971365668982,0.0
2021-08-27,11.742652567479968,12.125059177700248,0.0
2021-08-30,11.735928465736537,12.088854090227716,0.0
2021-08-31,11.725157708140346,12.00646843385313,0.0
2021-09-01,11.717633218944355,11.93758354744279,0.0
