Date,EMA_long,BB_middle,BB_upper,OBV,BB_lower,EMA_short,MACD_signal,ADX,wavelet_cA,target
2021-10-04,62.39131538337886,57.79303150177002,64.50541728542912,1120412200.0,51.08064571811092,57.85372848318634,-2.994808064240194,40.72467686569433,76.41245989005108,2.0
2021-10-05,62.06272349736553,57.29789237976074,63.577913424726496,1095322200.0,51.01787133479498,57.50450064744568,-2.9687853780180244,40.12676364162052,75.83841071669772,2.0
2021-10-06,61.73186588931934,56.83366756439209,62.74750558678963,1073432800.0,50.91982954199455,57.15189645151311,-2.9376058332272903,39.71187884713705,77.89127245273717,2.0
2021-10-07,61.473186293418486,56.51039085388184,62.04090194166768,1100751200.0,50.97987976609599,56.96859097354352,-2.87404706491287,38.65997315424459,80.30067357378545,0.0
2021-10-08,61.28918490222055,56.28041362762451,61.34457040066941,1133866500.0,51.21625685457962,56.95155095939148,-2.760720127411308,36.20603510521634,80.77739434509095,0.0
2021-10-11,61.12614757039518,56.06440086364746,60.56495082186152,1171039100.0,51.56385090543341,56.96793113950806,-2.610254678340609,33.892878370091616,82.58746851374507,0.0
2021-10-13,61.01916762752085,55.91332950592041,59.85253541332956,1199367000.0,51.974123598511255,57.09795185656184,-2.418244790213027,32.20588415350287,80.23300125311134,0.0
2021-10-14,60.84848166438775,55.69739761352539,58.906655900767184,1167314200.0,52.4881393262836,57.05874492120412,-2.2323742664441624,29.98879529251053,80.13878112233412,0.0
2021-10-15,60.68448926843634,55.55762424468994,58.30979263433759,1167314200.0,52.80545585504229,57.0231022526971,-2.0550073847924177,27.91373024308707,81.57870577797608,0.0
2021-10-18,60.56845444207763,55.59427185058594,58.439834047196655,1194241400.0,52.748709653975226,57.08696579302365,-1.8706899688381564,26.28004761501794,80.8673160356532,0.0
2021-10-19,60.43564554415953,55.66141624450684,58.58909192409726,1173328600.0,52.73374056491642,57.09558958867295,-1.6960902263261286,24.410438525040902,79.97223586751268,0.0
2021-10-20,60.28223130550606,55.80583572387695,58.601440636073406,1152524100.0,53.0102308116805,57.043588940475054,-1.543370323483054,22.674372941490805,77.5787882872782,0.0
2021-10-21,60.069457029767385,55.82250156402588,58.59116591527695,1124947500.0,53.0538372127748,56.8447615162655,-1.4354499867736628,22.12686920793837,76.10969591244263,0.0
2021-10-22,59.82265916988565,55.688248825073245,58.57777662784887,1087391000.0,52.79872102229762,56.56579334231257,-1.3752315945520484,22.67818991608444,76.98180548927921,0.0
2021-10-25,59.61135319026085,55.58700695037842,58.503160067537024,1122533600.0,52.67085383321981,56.3720263738708,-1.3344322577241532,22.27464451808853,77.87689603185304,0.0
2021-10-26,59.43414755164347,55.56232242584228,58.48642868010118,1140483600.0,52.63821617158339,56.25571574038415,-1.2943996985831834,21.6900471487944,77.08297950489181,0.0
2021-10-27,59.24088284459756,55.46859245300293,58.401949054348506,1123809500.0,52.53523585165735,56.09664135689219,-1.2633567604345293,21.251321294164644,75.39983144799263,0.0
2021-10-28,59.0066562449358,55.45428237915039,58.427377186849455,1103722200.0,52.48118757145133,55.83950164746769,-1.2564444829607964,21.385641399145328,74.57357907243878,0.0
2021-10-29,58.760571037662736,55.37915554046631,58.54169177241929,1081003200.0,52.21661930851332,55.556954539468144,-1.270716974127036,21.790321276660386,72.54018496046719,0.0
2021-11-01,58.46549446036813,55.21351985931396,58.844905095572834,1050734700.0,51.58213462305509,55.16415124648472,-1.318480936757202,22.86285112550292,73.17723307643598,0.0
2021-11-03,58.20191105944453,55.07471523284912,59.0016868925275,1070384300.0,51.14774357317074,54.85323910924214,-1.373622920205981,23.858771699428136,67.83590941235313,0.0
2021-11-04,57.79462394456934,54.76490859985351,59.79968135479717,993067400.0,49.73013584490985,54.2134982475044,-1.4900373000819225,25.76624222618113,66.8531503822937,0.0
2021-11-05,57.38198441650795,54.447231674194335,60.44002419203613,962945300.0,48.454439156352535,53.58248167764072,-1.6440328914407172,27.70921464107992,64.94623098655522,0.0
2021-11-08,56.93053250938655,53.98395290374756,61.03194664981352,926990700.0,46.9359591576816,52.88134341466539,-1.832137629292354,29.778614942215324,68.40129516529161,2.0
2021-11-09,56.59470847581532,53.56324634552002,60.89205009550784,954712700.0,46.23444259553221,52.4709503454522,-1.98774563006546,30.88854209942183,66.78623451407185,0.0
2021-11-10,56.22547670817075,53.06562461853027,60.70270480857453,933751200.0,45.42854442848601,51.98989107776372,-2.1292470016024323,31.919188745399303,66.46865243834893,2.0
2021-11-11,55.86371036179105,52.495738410949706,60.15707206449259,911258600.0,44.83440475740682,51.53630415028414,-2.252489553973239,33.05103073271426,68.7258282635931,0.0
2021-11-12,55.58122642105599,52.0954231262207,59.67946499408217,940053700.0,44.51138125835924,51.274855579626205,-2.3262100812452258,32.54495613732826,69.10959419652885,0.0
