Date,BB_upper,ATR,BB_lower,EMA_long,OBV,RSI,BB_middle,target
2019-07-19,20.821852358555265,0.4282541643536631,19.32748636367374,19.49794789098204,815001182.0,58.82291749741023,20.074669361114506,0.0
2019-07-22,20.770268923354216,0.436089375949087,19.431997388291293,19.510985695689048,795903329.0,49.624189847802064,20.101133155822755,0.0
2019-07-23,20.767458085899435,0.4384683873885896,19.471627683753887,19.534267341488466,813969391.0,54.23132598971122,20.11954288482666,0.0
2019-07-24,20.773356093728783,0.4259850222591606,19.49366890016769,19.55932414637476,833340898.0,55.33094138361091,20.13351249694824,0.0
2019-07-25,20.8108870267621,0.4226809719021306,19.538834118867783,19.59828963802083,857221700.0,60.93070452274928,20.174860572814943,0.0
2019-07-26,20.86978066440073,0.4798869282059574,19.41826617245229,19.58877832035717,785563456.0,42.73930143109822,20.14402341842652,0.0
2019-07-29,20.95484769458915,0.4810207406196971,19.25617716197824,19.569919099738467,752208596.0,40.07162079426317,20.10551242828369,0.0
2019-07-30,21.024561564272982,0.469641856031057,19.11361382787789,19.550144625765498,733056305.0,39.61827052573212,20.06908769607544,0.0
2019-07-31,21.142114316248065,0.4767815755318988,18.87945016739452,19.51563364111633,692608147.0,35.55734799080681,20.01078224182129,0.0
2019-08-01,21.306719841849564,0.4916989352579454,18.54449285041118,19.46386195131364,649680602.0,31.398297092653767,19.925606346130373,0.0
2019-08-02,21.411801462920813,0.5036672871491165,18.21790015145907,19.40791550736468,610534162.0,30.132997624394577,19.81485080718994,0.0
2019-08-05,21.40870312216551,0.5016145659965429,17.969375719997576,19.35621153404144,642763927.0,31.11986171951364,19.689039421081542,1.0
2019-08-06,21.373145792432734,0.5000852914454549,17.702660825304083,19.29370484465118,615333748.0,28.412862489191543,19.537903308868408,0.0
2019-08-07,21.272007036682524,0.4907494574351126,17.537932347777925,19.244203169356386,653011829.0,33.53441998749382,19.404969692230225,0.0
2019-08-08,21.12670472879892,0.5080887982338275,17.464856016440336,19.21154279415357,695201334.0,40.05498307523608,19.295780372619628,0.0
2019-08-09,20.98540572754281,0.497427781780349,17.414151195369787,19.18368081764513,720621969.0,41.51374773482747,19.199778461456297,0.0
2019-08-12,20.90040061698164,0.4954437187308939,17.314519808433396,19.14490908370504,701237951.0,38.10626029412531,19.10746021270752,0.0
2019-08-13,20.832979448786,0.4992554065341732,17.167748395452282,19.092758051187847,672212435.0,34.33821244931398,19.000363922119146,0.0
2019-08-14,20.728739329968512,0.508071622145032,17.07521002611059,19.049688254110205,695163533.0,37.482063581849,18.90197467803955,0.0
2019-08-15,20.641501938088734,0.5109810591631522,16.94086099983851,18.99444254008183,665911348.0,34.0249237887206,18.79118146896362,0.0
2019-08-16,20.447562021265824,0.5106673505417533,16.857830625523725,18.93660348003113,635963316.0,32.90293652088495,18.65269632339477,0.0
2019-08-19,20.30896299142572,0.5013298351266944,16.76903669576911,18.88248108140495,655322045.0,33.620277288102336,18.538999843597413,0.0
2019-08-20,20.09287629472923,0.503590209527386,16.70497603071022,18.82054825648792,622336405.0,31.160065279927075,18.398926162719725,0.0
2019-08-21,19.81775808269042,0.5004120399445323,16.676205921826178,18.754422154541736,600629925.0,29.60470179522962,18.2469820022583,0.0
