Date,wavelet_cD,target
2022-05-17,1.881867445530268e-05,0.0
2022-05-18,1.3201245652183502e-15,2.0
2022-05-19,-6.842848796550366e-06,2.0
2022-05-20,1.7446981359636737e-15,2.0
2022-05-23,5.560097535533366e-05,2.0
2022-05-24,1.2559397966072085e-15,1.0
2022-05-25,-4.020361326430473e-05,1.0
2022-05-26,1.8669961410200386e-15,1.0
2022-05-27,1.1974705308953702e-05,0.0
2022-05-30,1.031726787337206e-15,0.0
2022-05-31,2.052921859996065e-05,0.0
2022-06-01,1.3314002678121994e-15,0.0
2022-06-02,9.415835233017762e-06,0.0
2022-06-03,1.3717325886286602e-15,0.0
2022-06-06,-7.703274460110852e-06,0.0
2022-06-07,2.445960101127298e-15,0.0
2022-06-08,-4.194373454513567e-05,0.0
2022-06-09,1.5404344466674049e-15,0.0
2022-06-10,-4.622211153680784e-05,0.0
2022-06-13,7.97105437211343e-16,0.0
2022-06-14,-1.369667698341518e-05,0.0
2022-06-15,2.0860049798621103e-16,0.0
2022-06-17,-2.568034506131777e-05,2.0
2022-06-20,1.4649739754624136e-15,2.0
2022-06-21,-2.225455131256004e-05,0.0
2022-06-22,1.7052331768852014e-15,0.0
2022-06-23,-4.707872802348079e-05,0.0
2022-06-24,2.372234353398284e-15,0.0
2022-06-27,1.1983892147596382e-05,0.0
2022-06-28,1.883042333172824e-15,0.0
2022-06-29,-2.054423123513515e-05,0.0
2022-06-30,9.009720053354542e-16,0.0
2022-07-01,1.6931787858356874e-05,2.0
2022-07-04,1.1407975258892478e-15,1.0
2022-07-05,1.3706311961081798e-05,1.0
2022-07-06,1.5701415861935077e-15,0.0
2022-07-07,2.741284798958945e-05,0.0
2022-07-08,7.78023478975598e-16,0.0
2022-07-11,-3.169682670946684e-05,0.0
2022-07-12,7.756382341961301e-16,0.0
2022-07-13,-7.709996536448471e-06,0.0
2022-07-14,8.643259719054441e-16,2.0
2022-07-15,3.4266228038631625e-05,2.0
2022-07-18,5.607493636095029e-16,2.0
2022-07-19,6.59612621960637e-05,2.0
2022-07-20,5.637851296924623e-17,0.0
2022-07-21,1.627660956608854e-05,1.0
2022-07-22,-1.1839487723541708e-16,1.0
2022-07-25,2.912630503823987e-05,1.0
2022-07-26,6.683022191200649e-16,1.0
2022-07-27,6.853155981229476e-06,1.0
2022-07-28,1.2065001775418693e-15,2.0
2022-07-29,-6.853604117660651e-06,0.0
2022-08-01,-2.1076890233118206e-16,0.0
2022-08-02,2.1432217410153297e-05,2.0
2022-08-03,2.1727411536609511e-16,2.0
2022-08-04,4.97229684613674e-05,2.0
2022-08-05,5.178149575790769e-16,2.0
2022-08-08,2.6575053312096093e-05,2.0
2022-08-09,1.355686396475875e-15,2.0
2022-08-10,4.114985742855858e-05,2.0
2022-08-11,1.908629504443482e-15,1.0
2022-08-12,2.7433910495091533e-05,2.0
2022-08-15,1.2490009027033013e-15,2.0
2022-08-16,2.657572552150836e-05,0.0
2022-08-17,2.0148813173470614e-15,0.0
2022-08-18,-6.858533638776608e-06,0.0
2022-08-19,2.5045070184415152e-15,0.0
2022-08-22,-2.601151931424248e-05,1.0
2022-08-23,9.60603124822157e-16,1.0
2022-08-24,9.537952939381918e-06,0.0
2022-08-25,4.597017211338539e-16,0.0
2022-08-26,-1.387257129448552e-05,0.0
2022-08-29,1.648420983046961e-15,0.0
2022-08-30,-1.0404876607647464e-05,0.0
2022-08-31,1.0625181290357943e-15,0.0
2022-09-01,3.450127661331747e-05,2.0
2022-09-02,2.834104478877109e-15,2.0
2022-09-05,3.730819127510101e-05,1.0
2022-09-06,1.3699978651526834e-15,1.0
2022-09-08,-1.6485217974427247e-05,1.0
2022-09-09,9.710114656780178e-16,1.0
2022-09-12,2.8631784350050937e-05,0.0
2022-09-13,2.0729945537922845e-15,2.0
2022-09-14,-8.676182857764517e-06,2.0
2022-09-15,1.775055796793268e-15,2.0
2022-09-16,-7.807018491374964e-06,2.0
2022-09-19,1.5478070214403061e-15,2.0
2022-09-20,7.982240596269468e-05,2.0
2022-09-21,1.872200311447969e-15,0.0
2022-09-22,4.945565392637562e-05,0.0
2022-09-23,1.872200311447969e-15,0.0
2022-09-26,-5.2924917094062784e-05,0.0
2022-09-27,2.2594773274597912e-15,2.0
2022-09-28,-8.67371808641916e-07,2.0
2022-09-29,2.6684383869213235e-15,2.0
2022-09-30,1.1278298288043989e-05,2.0
2022-10-03,3.95820529131008e-15,2.0
2022-10-04,4.341116362979302e-06,0.0
2022-10-05,1.5308934675495323e-16,0.0
2022-10-06,-4.6881323071723807e-05,0.0
2022-10-07,8.309325449928906e-16,0.0
2022-10-10,-2.691272556905322e-05,0.0
2022-10-11,1.2975731600306517e-15,0.0
2022-10-13,-1.4758540845347806e-05,2.0
2022-10-14,2.314121116953061e-15,2.0
2022-10-17,1.9967701228678497e-05,2.0
2022-10-18,3.1780134079895106e-15,2.0
2022-10-19,8.689402971918947e-07,2.0
2022-10-20,8.283304597789254e-16,2.0
2022-10-21,8.681739773644826e-05,0.0
2022-10-24,2.298508605669269e-16,0.0
2022-10-25,-2.0836417447948376e-05,0.0
2022-10-26,2.7352252407464306e-15,2.0
2022-10-27,4.60139512671663e-05,2.0
2022-10-28,-1.4441572937506922e-16,2.0
2022-10-31,7.466276487378852e-05,2.0
2022-11-01,1.4307131868118717e-15,0.0
2022-11-03,-1.911018845753747e-05,0.0
2022-11-04,4.83554168928535e-16,0.0
2022-11-07,-5.9938506607278095e-05,0.0
2022-11-08,1.3274971399912516e-15,0.0
2022-11-09,-0.0001233527743946,0.0
2022-11-10,8.938162709970499e-16,0.0
2022-11-11,-7.731126261852376e-05,0.0
2022-11-14,-4.722784663346857e-16,0.0
2022-11-16,-3.3009648057044736e-05,0.0
2022-11-17,1.2797922444018894e-15,1.0
2022-11-18,1.8242368514735565e-05,0.0
2022-11-21,2.9841580595491024e-15,0.0
2022-11-22,-3.82214972645136e-05,0.0
2022-11-23,9.324138683375338e-16,0.0
2022-11-24,8.078747193740726e-05,0.0
2022-11-25,3.3024798173908465e-15,0.0
2022-11-28,-4.082719780020743e-05,0.0
2022-11-29,1.186550857568136e-15,1.0
2022-11-30,2.2585501499278186e-05,1.0
2022-12-01,1.7230140925139636e-15,1.0
2022-12-02,3.0424113750739543e-05,0.0
2022-12-05,1.639747365667077e-15,0.0
2022-12-06,5.128652322393271e-05,0.0
2022-12-07,1.119764003743029e-15,0.0
2022-12-08,-7.910404015738174e-05,0.0
2022-12-09,2.9243100996279026e-15,0.0
2022-12-12,-2.0388055014106208e-05,0.0
2022-12-13,-3.694961003830599e-16,0.0
2022-12-14,8.86484911178688e-06,2.0
2022-12-15,1.1011157263762785e-15,2.0
2022-12-16,2.304932470899258e-05,2.0
2022-12-19,5.078402975922103e-16,2.0
2022-12-20,2.304842843274665e-05,1.0
2022-12-21,1.317522480004385e-15,1.0
2022-12-22,4.43208845305864e-06,1.0
2022-12-23,1.025221574302293e-15,0.0
2022-12-26,-4.432357334289115e-05,0.0
2022-12-27,1.4909948276020657e-15,0.0
2022-12-28,4.432312520663475e-05,0.0
2022-12-29,2.2898349882893854e-15,0.0
2023-01-02,-4.367758188715716e-05,2.0
2023-01-03,7.038640503775895e-16,0.0
2023-01-04,6.209629286193976e-06,2.0
2023-01-05,5.499073418846478e-16,2.0
2023-01-06,3.814531374599778e-05,2.0
2023-01-09,8.092485015431805e-16,2.0
2023-01-10,4.3468077204455134e-05,2.0
2023-01-11,1.452830911130576e-15,0.0
2023-01-12,-3.2822998425867216e-05,2.0
2023-01-13,7.45931094670027e-16,1.0
2023-01-16,-2.483874120553544e-05,1.0
2023-01-17,8.244273319579778e-16,1.0
2023-01-18,4.169434554460215e-05,0.0
2023-01-19,9.905271047827569e-16,0.0
2023-01-20,-4.16943455427872e-05,0.0
2023-01-23,1.843143693225357e-15,0.0
2023-01-24,2.040306765223581e-05,0.0
2023-01-25,2.800277371095561e-15,0.0
2023-01-26,-1.3306348467455232e-05,0.0
2023-01-27,2.0929438737660178e-15,0.0
2023-01-30,8.873139677951017e-07,1.0
2023-01-31,1.663599813461758e-15,0.0
2023-02-01,-2.950318940230304e-05,0.0
2023-02-02,6.570265165262157e-16,2.0
2023-02-03,-7.988962670234332e-06,0.0
2023-02-06,3.4976362084382373e-15,0.0
2023-02-07,-5.148751328069986e-05,2.0
2023-02-08,1.7546727959505404e-15,2.0
2023-02-09,-5.8589386052247845e-05,0.0
2023-02-10,8.517492267046123e-16,2.0
2023-02-13,8.07832146215437e-05,2.0
2023-02-14,3.2179120479369768e-15,1.0
2023-02-15,3.4621601764230764e-05,0.0
2023-02-16,-1.8518173106052416e-16,0.0
2023-02-17,-7.990979292618171e-06,0.0
2023-02-22,3.2179120479369768e-15,0.0
2023-02-23,8.877172916844922e-06,0.0
2023-02-24,1.1466522176206697e-15,0.0
2023-02-27,-2.9295029129130023e-05,0.0
2023-02-28,1.1501216645726233e-15,0.0
2023-03-01,-3.662926164745006e-05,0.0
2023-03-02,2.6333102365327928e-15,0.0
2023-03-03,2.664854801121691e-06,1.0
2023-03-06,7.923349476524066e-16,0.0
2023-03-07,6.217471707604168e-06,0.0
2023-03-08,1.5595164049031496e-15,0.0
2023-03-09,-4.264081377306807e-05,0.0
2023-03-10,1.4675760606763788e-15,0.0
2023-03-13,-2.576168217487129e-05,0.0
