Date,Model_P_up_realistic,Model_Score_realistic,Model_strategy_simple,Buy_and_Hold
2024-06-28,101066.81485802417,99297.53096503305,102932.72806711179,101632.46498578678
2024-07-01,101066.81485802417,99297.53096503305,102932.72806711179,101154.48079236857
2024-07-02,101066.81485802417,99297.53096503305,102932.72806711179,102472.23327067916
2024-07-03,101066.81485802417,99297.53096503305,102932.72806711179,103099.74404601313
2024-07-04,101066.81485802417,99297.53096503305,102932.72806711179,103256.61814165185
2024-07-05,101066.81485802417,99297.53096503305,102932.72806711179,103319.36346207363
2024-07-08,101066.81485802417,99297.53096503305,102932.72806711179,103131.12030441879
2024-07-09,101066.81485802417,99297.53096503305,102932.72806711179,103852.75265858017
2024-07-10,101066.81485802417,99297.53096503305,102932.72806711179,104950.88572083034
2024-07-11,101066.81485802417,99297.53096503305,102932.72806711179,105578.38929977475
2024-07-12,101066.81485802417,99297.53096503305,102932.72806711179,104982.26917562551
2024-07-15,101066.81485802417,99297.53096503305,102932.72806711179,105390.15333850948
2024-07-16,101066.81485802417,99297.53096503305,102932.72806711179,106017.64972106434
2024-07-17,101066.81485802417,99330.38725779147,102932.72806711179,107178.55688929441
2024-07-18,101066.81485802417,99146.40197581764,102932.72806711179,106676.54395119351
2024-07-19,101066.81485802417,99404.75472828785,102932.72806711179,107492.29788418232
2024-07-22,101066.81485802417,99374.01279349579,102932.72806711179,107429.55256376058
2024-07-23,101066.81485802417,99253.22926177556,102932.72806711179,107272.67127173228
2024-07-24,101066.81485802417,99161.26994162134,102932.72806711179,107115.78997970403
2024-07-25,101066.81485802417,98608.61222109571,102932.72806711179,106645.16769278786
2024-07-26,101066.81485802417,98608.61222109571,102932.72806711179,107429.55256376058
2024-07-29,101066.81485802417,98608.61222109571,102932.72806711179,108213.93743473325
2024-07-30,101066.81485802417,98608.61222109571,102932.72806711179,107806.06046823884
2024-07-31,101066.81485802417,98608.61222109571,102932.72806711179,106300.04324310477
2024-08-01,101066.81485802417,98608.61222109571,102932.72806711179,104754.45307187602
2024-08-02,101066.81485802417,98608.61222109571,102932.72806711179,103436.00254377977
2024-08-05,101066.81485802417,98608.61222109571,102932.72806711179,103436.00254377977
2024-08-06,100510.41315976571,98347.10968057446,101814.21207191926,105727.59924055063
2024-08-07,100589.88357979458,98352.3460653182,102086.29864852506,106010.14388677143
2024-08-08,100327.0874205361,98153.27875525117,101723.51885639178,105633.42009060686
2024-08-09,102143.54933241449,99438.90833422702,104474.44706372416,108490.0844906507
2024-08-12,102209.72324354894,99463.67478989201,104625.59780292107,108647.04494296394
2024-08-13,104569.65293963774,101383.68375521661,107588.12734309646,111723.44390130095
2024-08-14,106757.57738330976,103232.79324042484,110248.34847485468,114485.91475862195
2024-08-15,108738.64864390122,104539.1304498568,112576.05577271388,116306.63009845308
2024-08-16,108738.64864390122,104035.64273616277,112576.05577271388,115333.50551894712
2024-08-19,108738.64864390122,104035.64273616277,112576.05577271388,116024.10704140089
2024-08-20,108738.64864390122,104035.64273616277,112576.05577271388,116871.71219450516
2024-08-21,108738.64864390122,104035.64273616277,112576.05577271388,116400.84523034457
2024-08-22,108738.64864390122,104035.64273616277,112576.05577271388,115333.50551894712
2024-08-23,108738.64864390122,104035.64273616277,112576.05577271388,114454.5385002163
2024-08-26,108738.64864390122,104035.64273616277,112576.05577271388,114705.65651330467
2024-08-27,108738.64864390122,104035.64273616277,112576.05577271388,114831.24070721223
2024-08-28,108927.0313752676,104122.56643389624,113120.94795551711,117311.1957038706
2024-08-29,108408.31452280063,103907.82429689358,111879.83291336117,116024.10704140089
2024-08-30,107980.48609683503,103658.03933273954,111092.80753759736,115207.92852142909
2024-09-02,107371.01929473903,103205.33128112719,110207.42394046884,114289.74837608072
2024-09-03,108602.36242332694,104155.72214658147,111994.22101276684,116142.73232662081
2024-09-04,109251.0060026554,104642.92375444248,112781.65580965813,116959.33543357564
2024-09-05,110036.414311703,105130.78885967322,113811.35220905024,117713.1068634342
2024-09-06,110036.414311703,103925.1641605134,113811.35220905024,116048.53878389797
2024-09-09,110036.414311703,104796.64485906746,113811.35220905024,117179.17793771194
2024-09-10,110036.414311703,104788.95219847788,113811.35220905024,117179.17793771194
2024-09-11,110036.414311703,104973.11211616642,113811.35220905024,117399.02044184825
2024-09-12,110036.414311703,103903.768310618,113811.35220905024,116111.34887182561
2024-09-13,110036.414311703,104005.66385639913,113811.35220905024,116236.96185129136
2024-09-16,110036.414311703,103980.51147711059,113811.35220905024,116205.57120010661
2024-09-17,110036.414311703,103738.63482091736,113811.35220905024,115922.91141165314
2024-09-18,110036.414311703,103165.67587817278,113811.35220905024,115263.35511368605
2024-09-19,110036.414311703,102891.75634966974,113811.35220905024,114949.29747765827
2024-09-20,110036.414311703,101793.85395391648,113811.35220905024,113692.99496965174
2024-09-23,110036.414311703,102019.26679570219,113811.35220905024,113028.509144848
2024-09-24,110036.414311703,102019.26679570219,113811.35220905024,112996.86662002928
2024-09-25,110036.414311703,102019.26679570219,113811.35220905024,114420.80182604067
2024-09-26,110036.414311703,102019.26679570219,113811.35220905024,115876.3795568708
2024-09-27,110036.414311703,102019.26679570219,113811.35220905024,116319.36770794346
2024-09-30,110036.414311703,102019.26679570219,113811.35220905024,114262.5676127784
2024-10-01,110036.414311703,102019.26679570219,113811.35220905024,112387.30364021451
2024-10-02,110036.414311703,102019.26679570219,113811.35220905024,113083.77741653501
2024-10-03,110036.414311703,102019.26679570219,113811.35220905024,110297.83913291566
2024-10-04,110036.414311703,102019.26679570219,113811.35220905024,110519.44475248992
2024-10-07,110036.414311703,102019.26679570219,113811.35220905024,111247.58983918732
2024-10-08,110036.414311703,102019.26679570219,113811.35220905024,111912.42109068914
2024-10-09,110036.414311703,102019.26679570219,113811.35220905024,109854.62789376722
2024-10-10,110036.414311703,102019.26679570219,113811.35220905024,110456.12372090472
2024-10-11,110036.414311703,102019.26679570219,113811.35220905024,109633.0150778034
2024-10-14,110036.414311703,102019.26679570219,113811.35220905024,110329.50324690301
2024-10-15,110036.414311703,101996.12987727727,113811.35220905024,111595.81593276329
2024-10-16,110036.414311703,102012.7180473134,113811.35220905024,110931.0062704301
2024-10-17,110036.414311703,102041.15907920524,113811.35220905024,111152.61189000432
2024-10-18,110036.414311703,102242.98489361088,113811.35220905024,111690.80827472534
2024-10-21,110036.414311703,101946.24480848468,113811.35220905024,111120.97656157515
2024-10-22,110036.414311703,102085.28560431096,113811.35220905024,111310.9108707725
2024-10-23,110036.414311703,102553.30120278709,113811.35220905024,112007.39184348256
2024-10-24,110036.414311703,103285.59329831842,113811.35220905024,113020.46358133938
2024-10-25,110036.414311703,103047.09145040234,113811.35220905024,111754.12930631053
2024-10-28,110036.414311703,103047.09145040234,113811.35220905024,113115.44153052237
2024-10-29,110036.414311703,103047.09145040234,113811.35220905024,111912.42109068914
2024-10-30,110036.414311703,103047.09145040234,113811.35220905024,111595.81593276329
2024-10-31,110036.414311703,103047.09145040234,113811.35220905024,110867.68523884493
2024-11-01,110036.414311703,103047.09145040234,113811.35220905024,110258.42450739093
2024-11-04,110036.414311703,102766.19418210894,113811.35220905024,111747.12721928558
2024-11-05,110036.414311703,103610.6894286244,113811.35220905024,115104.59556398717
2024-11-06,110036.414311703,103430.17198520238,113811.35220905024,114566.13291285309
2024-11-07,110036.414311703,102833.33493578667,113811.35220905024,112887.40233869707
2024-11-08,110036.414311703,101890.59613834089,113811.35220905024,111113.62904785218
2024-11-11,110036.414311703,101956.05891634735,113811.35220905024,111240.32868213886
2024-11-12,110036.414311703,101188.93287290618,113811.35220905024,109910.0113076869
2024-11-13,110036.414311703,101188.93287290618,113811.35220905024,109339.891738955
2024-11-14,110036.414311703,101188.93287290618,113811.35220905024,109023.12826045921
