Date,Model_strategy_realistic,Model_strategy_simple,Buy_and_Hold
2024-05-16,91521.88832317112,88443.26675912277,90718.05042024842
2024-05-17,91521.88832317112,88443.26675912277,90620.5044893841
2024-05-20,91521.88832317112,88443.26675912277,88884.17895056038
2024-05-21,91521.88832317112,88443.26675912277,88298.88742649686
2024-05-22,91521.88832317112,88443.26675912277,89879.13947593766
2024-05-23,91521.88832317112,88443.26675912277,89547.49128043775
2024-05-24,91521.88832317112,88443.26675912277,89547.49128043775
2024-05-27,91521.88832317112,88443.26675912277,89606.01883895636
2024-05-28,91521.88832317112,88443.26675912277,88435.45969914571
2024-05-29,91521.88832317112,88443.26675912277,87128.3282866862
2024-05-31,91521.88832317112,88443.26675912277,84475.08693661545
2024-06-03,91521.88832317112,88443.26675912277,85645.64607642611
2024-06-04,91521.88832317112,88443.26675912277,87850.19208339856
2024-06-05,91521.88832317112,88443.26675912277,88552.52278562168
