Date,Model_strategy_realistic,Model_strategy_simple,Buy_and_Hold
2024-04-02,96946.9576421561,95327.79997015756,89496.71437110189
2024-04-03,96946.9576421561,95327.79997015756,90809.62787789665
2024-04-04,96946.9576421561,95327.79997015756,90955.51297043754
2024-04-05,96946.9576421561,95327.79997015756,89204.95913632675
2024-04-08,96946.9576421561,95327.79997015756,88767.32628416407
2024-04-09,96946.9576421561,95327.79997015756,90153.17486207595
2024-04-10,96946.9576421561,95327.79997015756,88256.75088573091
2024-04-11,96946.9576421561,95327.79997015756,88986.13897266875
2024-04-12,96946.9576421561,95327.79997015756,88402.62850311848
2024-04-15,96946.9576421561,95327.79997015756,88037.92324691956
2024-04-16,96946.9576421561,95327.79997015756,87089.71499632372
2024-04-17,96946.9576421561,95327.79997015756,86870.8948326657
2024-04-18,96946.9576421561,95327.79997015756,87235.59261371128
2024-04-19,96946.9576421561,95327.79997015756,87162.65754259417
2024-04-22,96946.9576421561,95327.79997015756,87162.65754259417
2024-04-23,96946.9576421561,95327.79997015756,86506.19705162011
2024-04-24,96793.28006147279,95169.71774824374,87819.11803356821
2024-04-25,96655.3818749619,95011.62184166122,87673.23294102731
2024-04-26,96586.92642990308,94932.58198920552,87600.2978699102
2024-04-29,97259.29724259542,95643.98116548466,88256.75088573091
2024-04-30,97634.01555185874,96039.20473026985,88621.4486667765
2024-05-02,99042.02138578371,97462.00308282812,89934.35469841793
2024-05-03,99360.14843453604,97778.18679515761,90226.1174083464
2024-05-06,99999.60204605927,98410.53801814548,90809.62787789665
2024-05-07,101202.837867535,99596.20871250107,91903.72122103338
2024-05-08,97755.10072224446,96197.29253601682,88767.32628416407
2024-05-09,96687.71721204324,95248.76417375186,87892.05310468533
2024-05-10,96687.71721204324,95248.76417375186,87819.11803356821
2024-05-13,96687.71721204324,95248.76417375186,87964.99565095578
2024-05-14,96687.71721204324,95248.76417375186,88694.38373789362
2024-05-15,96687.71721204324,95248.76417375186,89788.47708103036
2024-05-16,96687.71721204324,95248.76417375186,90299.05247946351
2024-05-17,96687.71721204324,95248.76417375186,90299.05247946351
2024-05-20,96687.71721204324,95248.76417375186,88256.75088573091
2024-05-21,96687.71721204324,95248.76417375186,87673.23294102731
2024-05-22,96687.71721204324,95248.76417375186,87308.53515998174
2024-05-23,96687.71721204324,95248.76417375186,87235.59261371128
2024-05-24,96349.97720933033,94769.7226038167,86579.13959789056
2024-05-27,95900.85148019405,94290.68869109362,86141.50674572786
2024-05-28,94523.83722204523,92534.21464646937,84536.83800415798
2024-05-29,94017.85066054763,91975.33765713254,84026.26260572484
2024-05-31,94327.45603736654,92294.69359894792,84318.01784049998
2024-06-03,94244.66672194043,92214.85870465396,84245.08276938285
2024-06-04,95378.63647574392,93332.60450100785,85266.22609109581
2024-06-05,94403.17728392758,92374.53667556166,84390.96038677041
2024-06-06,96438.79061384781,94370.52358538756,86214.44181684499
2024-06-07,93893.14782725144,91975.33710736234,84318.01784049998
2024-06-10,93893.14782725144,91975.33710736234,83588.6222784088
2024-06-11,93893.14782725144,91975.33710736234,83150.98195109276
2024-06-12,93893.14782725144,91975.33710736234,82202.77370049691
2024-06-13,93893.14782725144,91975.33710736234,80889.86019370214
2024-06-14,93893.14782725144,91975.33710736234,81983.9535368389
2024-06-17,93893.14782725144,91975.33710736234,81983.9535368389
2024-06-18,93893.14782725144,91975.33710736234,82056.89608310934
2024-06-19,93893.14782725144,91975.33710736234,81692.19082691043
2024-06-20,94175.75718407192,92549.66766106094,82275.71624676738
2024-06-21,94191.57767071531,92549.66766106094,82275.71624676738
2024-06-24,94516.95257881231,92877.84661137078,82567.46400638916
2024-06-25,95000.21308018742,93370.13605831642,83005.1043337052
2024-06-26,95557.82746233861,93944.46814069145,83515.67973213835
2024-06-27,95640.98335051196,94026.51918471316,83588.6222784088
2024-06-28,95227.05076286572,93616.28078178925,83223.92449736323
2024-07-01,95558.91657285308,93944.46814069145,83515.67973213835
2024-07-02,95641.09918262863,94026.51918471316,83588.6222784088
2024-07-03,94973.98491974676,93370.13605831642,83005.1043337052
2024-07-04,95557.65965320086,93944.46814069145,83515.67973213835
2024-07-05,94473.21979046594,92877.84661137078,82567.46400638916
2024-07-08,93889.18250701642,92303.5229375881,82056.89608310934
2024-07-09,93889.18250701642,92303.5229375881,82056.89608310934
2024-07-10,95140.81998584485,93534.22973776751,83150.98195109276
2024-07-11,96225.58158920027,94600.85126708818,84099.19767684196
2024-07-12,97143.45876548505,95503.3791169577,84901.53578520355
2024-07-15,97143.45876548505,95503.3791169577,84901.53578520355
2024-07-16,97644.1120466969,95995.66015531101,85339.16863736625
2024-07-17,98645.4271607182,96980.23064060992,86214.44181684499
