,ticker,label,capital_inicial,capital_final,retorno_total,retorno_anual_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,volatilidade_pct,win_rate_pct,ml_metrics,adaptive_analysis
24,ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,-1.6894367240500197,-0.0015325068342512116,-0.002384137613784716,-0.1025314033304946,16.477261299198002,18.38064268833971,48.4,,
25,ITUB4.SA,Métricas de ML P(up),,,,,,,,,,,"{'Acurácia': '55.78%', 'Precisão (Up)': '27.37%', 'Recall (Up)': '38.24%', 'F1-Score (Up)': '0.32', 'Distribuição Predições': 'Up: 95, Not-Up: 156'}",
26,ITUB4.SA,Métricas de ML Score,,,,,,,,,,,"{'Acurácia': '59.76%', 'Precisão (Up)': '32.99%', 'Recall (Up)': '47.06%', 'F1-Score (Up)': '0.39', 'Distribuição Predições': 'Up: 97, Not-Up: 154'}",
27,ITUB4.SA,Análise Adaptativa,,,,,,,,,,,,"{'method': 'quick_testing', 'best_strategy': 'ultra_quick', 'total_strategies_tested': 6, 'best_sharpe': np.float64(1.5692493521006674)}"
28,BBAS3.SA,Modelo P(up) Realista,100000.0,103745.38916153752,3.7453891615375268,3.7759110042702826,0.9972056845810998,0.31086460132300164,1.090085905059298,3.4638655419224804,3.8040201523582935,66.66666666666666,,
29,BBAS3.SA,Modelo Score Realista,100000.0,95583.56559773438,-4.416434402265612,-4.45096769585459,-0.5484577523452632,-0.3628019295064329,-0.5214076780392852,8.536444481585164,7.782059849143074,55.769230769230774,,
30,BBAS3.SA,Simulação Simples,100000.0,107122.40157720324,7.122401577203252,7.18137963471237,1.3959083643149988,0.506731560911999,1.776936563253801,4.041438385151091,5.080375182722804,66.66666666666666,,
31,BBAS3.SA,Buy and Hold,100000.0,95679.13605531957,-4.320863944680431,-4.337699675634998,-0.17594236199285773,-0.25411692712941314,-0.2684132960179686,16.160524608827934,17.04757031834731,52.800000000000004,,
32,BBAS3.SA,Métricas de ML P(up),,,,,,,,,,,"{'Acurácia': '78.09%', 'Precisão (Up)': '83.33%', 'Recall (Up)': '15.87%', 'F1-Score (Up)': '0.27', 'Distribuição Predições': 'Up: 12, Not-Up: 239'}",
33,BBAS3.SA,Métricas de ML Score,,,,,,,,,,,"{'Acurácia': '66.14%', 'Precisão (Up)': '28.85%', 'Recall (Up)': '23.81%', 'F1-Score (Up)': '0.26', 'Distribuição Predições': 'Up: 52, Not-Up: 199'}",
34,BBAS3.SA,Análise Adaptativa,,,,,,,,,,,,"{'method': 'quick_testing', 'best_strategy': 'ultra_quick', 'total_strategies_tested': 6, 'best_sharpe': np.float64(3.1680071141628963)}"
35,B3SA3.SA,Modelo P(up) Realista,100000.0,99799.76515479862,-0.2002348452013858,-0.20183510630176205,0.07306786116197928,0.07156660915299917,-0.012437202986235251,16.228335786200564,17.070004077895405,51.06382978723404,,
36,B3SA3.SA,Modelo Score Realista,100000.0,116488.97495468776,16.48897495468775,16.631296211813407,1.138662359355674,1.0982623605285906,1.2974624460294732,12.818325696214877,14.480142268634658,56.09756097560976,,
37,B3SA3.SA,Simulação Simples,100000.0,97832.7870907144,-2.1672129092856096,-2.1843598651567264,-0.029373690156784166,-0.028741007405311776,-0.1193964880850354,18.295009344001834,18.34763678121709,52.12765957446809,,
38,B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,-25.310936676535988,-0.9181851192869608,-1.4632680358875503,-0.7398142204969136,34.21255766013162,27.71794463219498,49.2,,
