Date,Model_P_up_realistic,Model_Score_realistic,Model_strategy_simple,Buy_and_Hold
2024-04-19,98865.60711436401,97251.64897258002,99410.7560789032,101935.59379554167
2024-04-22,98865.60711436401,97251.64897258002,99410.7560789032,100758.4219949982
2024-04-23,98865.60711436401,97251.64897258002,99410.7560789032,101530.94171649168
2024-04-24,98865.60711436401,97251.64897258002,99410.7560789032,101163.06631525539
2024-04-25,98865.60711436401,97251.64897258002,99410.7560789032,100721.6375583917
2024-04-26,98865.60711436401,97251.64897258002,99410.7560789032,100721.6375583917
2024-04-29,98865.60711436401,97251.64897258002,99410.7560789032,101347.01177466633
2024-04-30,98865.60711436401,97251.64897258002,99410.7560789032,100868.77530481774
2024-05-02,98865.60711436401,97251.64897258002,99410.7560789032,101935.59379554167
2024-05-03,98865.60711436401,97163.9648854648,99410.7560789032,103811.70092678003
2024-05-06,98865.60711436401,97221.57164203253,99410.7560789032,104400.29070644817
2024-05-07,98865.60711436401,97097.84999862176,99410.7560789032,104069.22301819676
2024-05-08,98865.60711436401,97286.15762300002,99410.7560789032,104400.29070644817
2024-05-09,98865.60711436401,94623.96803378875,99410.7560789032,99838.7490094931
2024-05-10,98865.60711436401,95748.48626658673,99410.7560789032,101604.52610729028
2024-05-13,98865.60711436401,96280.50444602781,99410.7560789032,102377.038069991
2024-05-14,98865.60711436401,96811.09438500302,99410.7560789032,103039.19672287212
2024-05-15,98865.60711436401,95738.7449960845,99410.7560789032,101714.87941710983
2024-05-16,98865.60711436401,95824.8596465736,99410.7560789032,101825.24048572214
2024-05-17,98865.60711436401,95856.6827310704,99410.7560789032,101862.02492232865
2024-05-20,98865.60711436401,96584.57067726778,99410.7560789032,102708.10575824237
2024-05-21,98865.60711436401,96522.1137223825,99410.7560789032,102634.53688502933
2024-05-22,98865.60711436401,95208.32167411566,99410.7560789032,101163.06631525539
2024-05-23,98865.60711436401,93485.57352033028,99410.7560789032,99103.0370009845
2024-05-24,98865.60711436401,93485.57352033028,99410.7560789032,99618.05014864681
