Date,Model_strategy_realistic,Model_strategy_simple,Buy_and_Hold
2024-04-09,90123.06379333617,90413.3082972834,88269.26662337196
2024-04-10,90123.06379333617,90413.3082972834,86409.0696515366
2024-04-11,90123.06379333617,90413.3082972834,86349.06854746942
2024-04-12,90123.06379333617,90413.3082972834,85268.94451697842
2024-04-15,90123.06379333617,90413.3082972834,84008.83019394607
2024-04-16,90123.06379333617,90413.3082972834,83408.74754514308
2024-04-17,90123.06379333617,90413.3082972834,82988.70726752224
2024-04-18,90123.06379333617,90413.3082972834,82628.67460379872
2024-04-19,90123.06379333617,90413.3082972834,81848.58213296406
2024-04-22,90123.06379333617,90413.3082972834,81488.56248890073
2024-04-23,90123.06379333617,90413.3082972834,82028.61148448604
2024-04-24,90123.06379333617,90413.3082972834,82028.61148448604
2024-04-25,90123.06379333617,90413.3082972834,81968.61689024896
2024-04-26,90123.06379333617,90413.3082972834,83288.75835666891
2024-04-29,90123.06379333617,90413.3082972834,84368.8563478395
2024-04-30,90123.06379333617,90413.3082972834,84008.83019394607
2024-05-02,90123.06379333617,90413.3082972834,83048.72790107975
2024-05-03,90123.06379333617,90413.3082972834,82802.20714487704
2024-05-06,90123.06379333617,90413.3082972834,82742.1018835282
2024-05-07,90123.06379333617,90413.3082972834,82742.1018835282
2024-05-08,90123.06379333617,90413.3082972834,82922.39162825432
2024-05-09,90123.06379333617,90413.3082972834,80819.28034609382
2024-05-10,90123.06379333617,90413.3082972834,80338.561942075
2024-05-13,90123.06379333617,90413.3082972834,80699.10237254664
2024-05-14,90123.06379333617,90413.3082972834,80639.0231505182
2024-05-15,90123.06379333617,90413.3082972834,79857.85655771641
2024-05-16,90123.06379333617,90413.3082972834,80278.48272004658
2024-05-17,90123.06379333617,90413.3082972834,80699.10237254664
2024-05-20,90123.06379333617,90413.3082972834,80098.20599498066
2024-05-21,90123.06379333617,90413.3082972834,80518.83215731083
2024-05-22,90123.06379333617,90413.3082972834,78716.1690639333
2024-05-23,90123.06379333617,90413.3082972834,77394.23088440468
2024-05-24,90143.5105287904,90552.94004967171,77935.02200062182
2024-05-27,89591.36475951626,90273.67730456864,77694.67256335757
2024-05-28,89540.5381251713,90203.8483816578,77634.57381183883
2024-05-29,88703.90815865967,89296.24635102072,76853.43976818756
2024-05-31,87884.90938693985,88458.41273296265,76132.3523974142
2024-06-03,88434.23208744032,89016.97604212615,76613.0838210932
2024-06-04,89252.33587772354,89848.8418287093,77329.03493591463
2024-06-05,88770.99508792862,89359.40400984931,76907.79684955471
2024-06-06,90627.6399090956,91247.2809796295,78532.61138449505
2024-06-07,89939.98045474988,90548.05384037789,77930.81665037472
2024-06-10,89321.09140903456,89918.75395332636,77389.2052955645
2024-06-11,89802.45451480849,90408.21446356077,77810.46291141475
2024-06-12,88152.11348087294,88730.11168658923,76366.19200457458
2024-06-13,88220.87645084364,88800.0313749978,76426.36887405458
2024-06-14,89114.80993778212,89709.00245189214,77208.68119695464
2024-06-17,90077.51383335097,90687.90078098653,78051.17689916481
2024-06-18,88694.88272220595,89282.01129546197,76841.1882679321
2024-06-19,89120.42612583145,89714.71311445688,77213.59611868307
2024-06-20,88907.65814334854,89498.36598685518,77027.39544822264
2024-06-21,88836.72308475478,89426.23767133546,76965.31770835232
2024-06-24,89120.42612583145,89714.71311445688,77213.59611868307
2024-06-25,88411.17968112929,88993.53585234054,76592.90985760136
2024-06-26,88623.9476636122,89209.88297994227,76779.11052806179
2024-06-27,88978.57832462294,89570.47917479191,77089.46016843274
2024-06-28,88694.88272220595,89282.01129546197,76841.1882679321
2024-07-01,87914.72353488907,88488.72840920037,76158.44379647043
2024-07-02,87765.34781009656,88336.83991256118,76027.71989815499
2024-07-03,88049.51204807265,88625.78431075416,76276.40191795219
2024-07-04,88404.66341526015,88986.90997100715,76587.2072464304
2024-07-05,89399.14526493056,89998.12081728906,77457.51294284422
2024-07-08,89399.14526493056,89998.12081728906,77457.51294284422
2024-07-09,89399.14526493056,89998.12081728906,77457.51294284422
2024-07-10,90890.87919742567,91514.94843239913,78762.98125221008
2024-07-11,90890.87919742567,91514.94843239913,78762.98125221008
2024-07-12,90677.74672061902,91298.23067901505,78576.46160007456
2024-07-15,90464.66631443007,91081.56587217133,78389.9875167498
2024-07-16,90748.80823642714,91370.48757898987,78638.65000705665
2024-07-17,91814.32928592665,92453.93263387214,79571.12458096223
2024-07-18,90652.43297162592,91370.4736595701,78079.16916861136
2024-07-19,90652.43297162592,91370.4736595701,77644.0000458292
2024-07-22,90652.43297162592,91370.4736595701,78514.31876190324
2024-07-23,90652.43297162592,91370.4736595701,77954.84443328805
